Part,Value,Device,Package,Description,MPN,VALUE
C1,18pf,CAP-US1206FAB,C1206FAB,,,
C2,18pf,CAP-US1206FAB,C1206FAB,,,
C3,CAP-US1206,CAP-US1206,C1206,,,
C4,CAP-US1206,CAP-US1206,C1206,,,
C5,1nf,CAP-US1206FAB,C1206FAB,,,
CR,CRYSTAL,CRYSTAL,2-SMD-5X3MM,,,
D1,LED,LED1206,LED-1206,LED (Generic),,
D2,"3,3 zener",ZENER_DIODESOD123,SOD123,zener diode,,
D3,"3,3 zener",ZENER_DIODESOD123,SOD123,zener diode,,
IC1,ATTINY44-SSU,ATTINY44-SSU,SOIC14,,,
JMP,SOLDER_JUMPER,SOLDER_JUMPER,SJFAB,,,
MINIUSB,ZX62-B-5PA,MICRO-USB-SMD(ZX62-B-5PA),MICRO-USB5+6P-SMD-0.65-AB,320010005,ZX62-B-5PA,ZX62-B-5PA
R1,49 R,RES-US1206FAB,R1206FAB,Resistor (US Symbol),,
R2,49 R,RES-US1206FAB,R1206FAB,Resistor (US Symbol),,
R3,499 R,RES-US1206FAB,R1206FAB,Resistor (US Symbol),,
R5,1.5k,RES-US1206FAB,R1206FAB,Resistor (US Symbol),,
R7,10k,RES-US1206FAB,R1206FAB,Resistor (US Symbol),,
R8,10M,RES-US1206FAB,R1206FAB,Resistor (US Symbol),,
R9,10M,RES-US1206FAB,R1206FAB,Resistor (US Symbol),,
R10,10M,RES-US1206FAB,R1206FAB,Resistor (US Symbol),,
R11,10M,RES-US1206FAB,R1206FAB,Resistor (US Symbol),,
R12,10M,RES-US1206FAB,R1206FAB,Resistor (US Symbol),,
R13,10M,RES-US1206FAB,R1206FAB,Resistor (US Symbol),,
SW2,SKQGADE010,SMD-BUTTON(4P-5.2X5.2X1.5MM-SKQGADE010)-SKQGADE010,SW4-SMD-5.2X5.2X1.5MM,311020017,SKQGADE010,SKQGADE010
